array_separation_lambda,array_separation_mm,target_z_m,method,control_points,radius_lambda,synthesis_wall_s,radial_window_mm,radial_samples,angular_samples,normalization,radial_profile_rmse_to_method_reference,selected,fixed_1p4,reference
35.0,300.125,0.0,IB,8,1.75,6.550000398419797e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2635342799346445,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.8,6.78999931551516e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2942000463158855,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.85,7.09999876562506e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3072440020678081,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.9,6.569999095518142e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3241319556287592,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,1.95,6.560000474564731e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.34578973660931694,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,2.0,6.310000026132911e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3599759719755682,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,2.05,7.110000296961516e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3796846555050382,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,2.1,6.939999002497643e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40536608708346095,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,2.15,6.630001007579267e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4235810314789521,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
35.0,300.125,0.0,IB,8,2.2,7.340000593103468e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.41536695785189426,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,0.8,0.00010389999079052359,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40921856275545154,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,0.85,7.510000432375818e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40916686664358415,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,0.9,7.99000117694959e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40910499889365787,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,0.95,7.110000296961516e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4090278583869282,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.0,6.400000711437315e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40892533009099,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.05,7.049999840091914e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4087704851409448,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.1,6.36000040685758e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40844886005576814,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.15,6.220000796020031e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.40550562861764045,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.2,7.03999976394698e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.39866916780534506,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.25,6.359998951666057e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.38523731590738963,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.3,6.200000643730164e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3604311339843853,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.35,7.389999518636614e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3382686632412807,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.4,6.720000237692147e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3068024813013262,False,True,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.45,0.00010980000661220402,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2784603330150492,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.5,7.350000669248402e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2348819370217107,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.55,7.480000203941017e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.20867847300506898,True,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.6,7.769999501761049e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.20881228244481187,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.65,7.930000720079988e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.22289844403190898,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.7,8.13000078778714e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.24015139714808503,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.75,9.169999975711107e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.26921305639445753,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.8,7.389999518636614e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.28312890254878803,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.85,9.080000745598227e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2895845511767582,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.9,6.669999856967479e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.29922037243745814,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,1.95,7.159999222494662e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.31734588182045753,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,2.0,7.660000119358301e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3488364588004472,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,2.05,7.280000136233866e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3664032372241241,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,2.1,6.58999924780801e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.37252903258775,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,2.15,7.609999738633633e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.38460377752960695,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
40.0,343.0,0.0,IB,8,2.2,6.760000542271882e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3953826281547693,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,0.8,0.00010399999155197293,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35314597719149693,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,0.85,7.779999577905983e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35311794541182445,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,0.9,7.140000525396317e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35308648341629445,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,0.95,6.969999230932444e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3530493815993235,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.0,7.169999298639596e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3530068083450052,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.05,6.479999865405262e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35295478240046074,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.1,6.210000719875097e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35288603116682166,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.15,6.870001379866153e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35278206827554026,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.2,6.330000178422779e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35254990560995164,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.25,6.070001109037548e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.35030100897720035,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.3,6.730000313837081e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.3441636489681611,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.35,6.510000093840063e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.33005288361557034,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.4,6.86999992467463e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.31842794438962796,False,True,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.45,7.06000137142837e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.30259763970567705,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.5,6.569999095518142e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2853271549858941,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.55,6.730000313837081e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.27187848643530393,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.6,6.520000169984996e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.25999107855306197,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.65,6.58999924780801e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.24456845489459034,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.7,6.540000322274864e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.23759674773337927,True,False,"same-method D/lambda=26.7, R/lambda=1.40"
45.0,385.87499999999994,0.0,IB,8,1.75,6.740000389982015e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.244942041729652,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
