panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,44,-0.4166666666666665,-1.25,-0.0002708333333333332,-0.0008125,True,0.9998270318843742,0.01859855675268195,1.0566338192986025e-05,6.101973689008587e-08,1.965526378896785e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,45,0.0,-1.25,0.0,-0.0008125,True,8.206425495120924e-06,0.9999999999663273,1.6802561551870363e-12,-5.442233059668158e-13,2.047488466360223e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,46,0.41666666666666696,-1.25,0.00027083333333333354,-0.0008125,True,-0.9998270318004225,0.018598561265776994,-1.056633492058575e-05,-6.10208185717431e-08,1.9655262472885453e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,47,0.8333333333333335,-1.25,0.0005416666666666668,-0.0008125,True,-0.9999631167125351,0.0085886677984983,-2.055596104439893e-05,-1.132410125054363e-07,1.765548326118591e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,48,1.25,-1.25,0.0008125,-0.0008125,True,-0.9999876911603058,0.00496160537334651,-2.9421060493309264e-05,-1.5053736051442656e-07,1.4597748864666268e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,49,1.666666666666667,-1.25,0.0010833333333333335,-0.0008125,True,-0.9999955450541563,0.0029849408437971395,-3.667511755314829e-05,-1.6304342230409683e-07,1.0947354403416373e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,50,2.083333333333334,-1.25,0.001354166666666667,-0.0008125,True,-0.9999987239697152,0.0015975164917516205,-4.193287230914982e-05,-1.4806886101562948e-07,6.698854053978815e-08
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,51,2.5,-1.25,0.001625,-0.0008125,True,-0.9999999249864068,0.00038733342314018995,-4.494036282546584e-05,-9.969051874373215e-08,1.740690587610438e-08
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,52,-2.5,-0.8333333333333333,-0.001625,-0.0005416666666666666,True,0.9999728239989476,-0.007372330945493145,4.498508506232818e-05,1.3537487471846417e-07,-3.3165394771867565e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,53,-2.0833333333333335,-0.8333333333333333,-0.0013541666666666667,-0.0005416666666666666,True,0.9999659491756903,-0.008252302052197636,4.1983160922073756e-05,1.773948121354308e-07,-3.464695226078159e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,54,-1.6666666666666665,-0.8333333333333333,-0.0010833333333333333,-0.0005416666666666666,True,0.9999511454720706,-0.009884668385616389,3.672602310654045e-05,1.8762569532013033e-07,-3.630422957906166e-07
