task,method,public_method,metric,estimate,q25,q75,iqr,minimum,maximum,range,ci95_low,ci95_high,n_valid,interval_status,bootstrap_resamples_requested,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,sampling_unit,triple_dependence
Triple,Conventional,Conventional,finite_ka_stiffness_min_n_m,0.0011627993606213034,0.0011534617886666146,0.001169787558785132,1.6325770118517328e-05,0.0011132747723050403,0.001188167757670885,7.48929853658447e-05,0.0011132747723050403,0.001188167757670885,5,estimated,10000,10000,20260906,7.471001730045091e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,Conventional,Conventional,pressure_abs_at_exact_equilibrium_pa,456.72017590206246,456.27149003540273,457.5074070315484,1.2359169961456473,445.43206152034594,458.0905017273386,12.65844020699268,445.43206152034594,458.0905017273386,5,estimated,10000,10000,20260906,1.939849917148392e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,Conventional,Conventional,command_time_s,407.0987479999894,374.6157430000021,451.081319799996,76.46557679999387,338.6986606000137,475.6073371000093,136.90867649999564,338.6986606000137,475.6073371000093,5,estimated,10000,10000,20260906,8.426231345615395e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Triple,FE,FE,field_concentration_fraction,0.16786335408740652,0.16681438312490202,0.16786742762595736,0.001053044501055339,0.16680676888557547,0.16787577640978013,0.0010690075242046626,0.16680676888557547,0.16787577640978013,5,estimated,10000,10000,20260906,1.603332868573886e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE,FE,finite_ka_displacement_a,0.8412291273577476,0.8408344848401056,0.8414896205457637,0.0006551357056581164,0.8405997028462493,0.8421699321704976,0.001570229324248329,0.8405997028462493,0.8421699321704976,5,estimated,10000,10000,20260906,6.758700425002064e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE,FE,finite_ka_stiffness_min_n_m,0.001362536411391657,0.0013617904330438784,0.0013625664585385651,7.760254946867322e-07,0.0013617897607540626,0.0013626670006377712,8.772398837086394e-07,0.0013617897607540626,0.0013626670006377712,5,estimated,10000,10000,20260906,8.028268540625353e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE,FE,pressure_abs_at_exact_equilibrium_pa,24.96781504884419,24.95931627368177,24.991425608807802,0.0321093351260302,24.949456895180226,25.0077029213253,0.058246026145074126,24.949456895180226,25.0077029213253,5,estimated,10000,10000,20260906,4.69884106422328e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE,FE,command_time_s,7.789054599998053,6.72655659999873,12.49837440000556,5.771817800006829,6.1550850000057835,14.347185499995248,8.192100499989465,6.1550850000057835,14.347185499995248,5,estimated,10000,10000,20260906,4.0562221171834204e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Triple,FE+g,GFE,field_concentration_fraction,0.1630127606491322,0.1630095288498949,0.1638865558913155,0.0008770270414206194,0.16299975877616965,0.16843248754868084,0.005432728772511192,0.16299975877616965,0.16843248754868084,5,estimated,10000,10000,20260906,7.696004494762483e+18,independent command seed,target outcomes reduced within command before any resampling
Triple,FE+g,GFE,finite_ka_displacement_a,0.3534411681742816,0.35304091107165525,0.35367670143155167,0.0006357903598964154,0.3529942432839029,0.4305588233212384,0.07756458003733552,0.3529942432839029,0.4305588233212384,5,estimated,10000,10000,20260906,8.204505632030203e+17,independent command seed,target outcomes reduced within command before any resampling
