task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,BFGS,lambda_pressure_factor,3.0,minimum_stiffness_n_m,1,1,0,0.0016607506854263135,0.0016607506854263135,0.0016607506854263135,0.0016607506854263135,0.0016607506854263135,,
Single,Conventional,BFGS,lambda_pressure_factor,3.0,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,solve_wall_s,1,1,0,13.055273499994655,13.055273499994655,13.055273499994655,13.055273499994655,13.055273499994655,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,iterations,1,1,0,1262.0,1262.0,1262.0,1262.0,1262.0,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,evaluations,1,1,0,2227.0,2227.0,2227.0,2227.0,2227.0,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,terminal_gradient_l2,1,1,0,6913.696779519204,6913.696779519204,6913.696779519204,6913.696779519204,6913.696779519204,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,terminal_gradient_inf,1,1,0,1547.2167091571469,1547.2167091571469,1547.2167091571469,1547.2167091571469,1547.2167091571469,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,relative_gradient_l2,1,1,0,0.9950223797091159,0.9950223797091159,0.9950223797091159,0.9950223797091159,0.9950223797091159,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,objective_n_m,1,1,0,-41.80604835523355,-41.80604835523355,-41.80604835523355,-41.80604835523355,-41.80604835523355,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,surrogate_residual_n,1,1,0,1.28464765047485e-06,1.28464765047485e-06,1.28464765047485e-06,1.28464765047485e-06,1.28464765047485e-06,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,command_cosine_to_fixed_GFE,1,1,0,0.847523663521616,0.847523663521616,0.847523663521616,0.847523663521616,0.847523663521616,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,field_cosine_to_fixed_GFE,1,1,0,0.9737273072693561,0.9737273072693561,0.9737273072693561,0.9737273072693561,0.9737273072693561,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,worst_displacement_a,1,1,0,1.3011803908580362,1.3011803908580362,1.3011803908580362,1.3011803908580362,1.3011803908580362,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,minimum_stiffness_n_m,1,1,0,0.0013704450397885684,0.0013704450397885684,0.0013704450397885684,0.0013704450397885684,0.0013704450397885684,,
Single,Conventional,BFGS,lambda_pressure_factor,10.0,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,solve_wall_s,1,1,0,7.081598200005828,7.081598200005828,7.081598200005828,7.081598200005828,7.081598200005828,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,iterations,1,1,0,619.0,619.0,619.0,619.0,619.0,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,evaluations,1,1,0,1267.0,1267.0,1267.0,1267.0,1267.0,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,terminal_gradient_l2,1,1,0,20812.750404095226,20812.750404095226,20812.750404095226,20812.750404095226,20812.750404095226,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,terminal_gradient_inf,1,1,0,4621.592576110578,4621.592576110578,4621.592576110578,4621.592576110578,4621.592576110578,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,relative_gradient_l2,1,1,0,0.9984695626129756,0.9984695626129756,0.9984695626129756,0.9984695626129756,0.9984695626129756,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,objective_n_m,1,1,0,-23.25318062795884,-23.25318062795884,-23.25318062795884,-23.25318062795884,-23.25318062795884,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,surrogate_residual_n,1,1,0,2.5594870842519427e-06,2.5594870842519427e-06,2.5594870842519427e-06,2.5594870842519427e-06,2.5594870842519427e-06,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,command_cosine_to_fixed_GFE,1,1,0,0.6193127667072517,0.6193127667072517,0.6193127667072517,0.6193127667072517,0.6193127667072517,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,field_cosine_to_fixed_GFE,1,1,0,0.8974741478552443,0.8974741478552443,0.8974741478552443,0.8974741478552443,0.8974741478552443,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,worst_displacement_a,1,1,0,3.9713247414334076,3.9713247414334076,3.9713247414334076,3.9713247414334076,3.9713247414334076,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,minimum_stiffness_n_m,1,1,0,0.000559475289845129,0.000559475289845129,0.000559475289845129,0.000559475289845129,0.000559475289845129,,
Single,Conventional,BFGS,lambda_pressure_factor,30.0,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,FE,L-BFGS-B,alpha_factor,0.01,solve_wall_s,1,1,0,0.004971300004399382,0.004971300004399382,0.004971300004399382,0.004971300004399382,0.004971300004399382,,
Single,FE,L-BFGS-B,alpha_factor,0.01,iterations,1,1,0,39.0,39.0,39.0,39.0,39.0,,
Single,FE,L-BFGS-B,alpha_factor,0.01,evaluations,1,1,0,47.0,47.0,47.0,47.0,47.0,,
Single,FE,L-BFGS-B,alpha_factor,0.01,terminal_gradient_l2,1,1,0,3.045019105794264e-08,3.045019105794264e-08,3.045019105794264e-08,3.045019105794264e-08,3.045019105794264e-08,,
Single,FE,L-BFGS-B,alpha_factor,0.01,terminal_gradient_inf,1,1,0,9.884599138917748e-09,9.884599138917748e-09,9.884599138917748e-09,9.884599138917748e-09,9.884599138917748e-09,,
