archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D26p70_GS_R1p25,opposed,26.7,GS,1.25,100,0.0005746999959228,256,512,True
opposed_D26p70_GS_R1p30,opposed,26.7,GS,1.3,100,0.0006490000087069,256,512,True
opposed_D26p70_GS_R1p35,opposed,26.7,GS,1.35,100,0.0005848000000696,256,512,True
opposed_D26p70_GS_R1p40,opposed,26.7,GS,1.4,100,0.0005815000040456,256,512,True
opposed_D26p70_GS_R1p45,opposed,26.7,GS,1.45,100,0.0005591000081039,256,512,True
opposed_D26p70_GS_R1p50,opposed,26.7,GS,1.5,100,0.0005636000132653,256,512,True
opposed_D26p70_GS_R1p55,opposed,26.7,GS,1.55,100,0.0009455000108573,256,512,True
opposed_D26p70_GS_R1p60,opposed,26.7,GS,1.6,100,0.0005730999982915,256,512,True
opposed_D26p70_GS_R1p65,opposed,26.7,GS,1.65,100,0.0005655999993905,256,512,True
opposed_D26p70_GS_R1p70,opposed,26.7,GS,1.7,100,0.0006410999922081,256,512,True
opposed_D26p70_GS_R1p75,opposed,26.7,GS,1.75,100,0.0007373999978881,256,512,True
opposed_D26p70_GS_R1p80,opposed,26.7,GS,1.8,100,0.0005890000029467,256,512,True
opposed_D26p70_GS_R1p85,opposed,26.7,GS,1.85,100,0.0005661000031977,256,512,True
opposed_D26p70_GS_R1p90,opposed,26.7,GS,1.9,100,0.0005802999949082,256,512,True
opposed_D26p70_GS_R1p95,opposed,26.7,GS,1.95,100,0.0005725000082748,256,512,True
opposed_D26p70_GS_R2p00,opposed,26.7,GS,2.0,100,0.0007439999899361,256,512,True
opposed_D26p70_GS_R2p05,opposed,26.7,GS,2.05,100,0.0005850000015925,256,512,True
opposed_D26p70_GS_R2p10,opposed,26.7,GS,2.1,100,0.0005517000099644,256,512,True
opposed_D26p70_GS_R2p15,opposed,26.7,GS,2.15,100,0.0005690999969374,256,512,True
opposed_D26p70_GS_R2p20,opposed,26.7,GS,2.2,100,0.0005592999950749,256,512,True
opposed_D30p00_GS_R0p80,opposed,30.0,GS,0.8,100,0.0006208000122569,256,512,True
opposed_D30p00_GS_R0p85,opposed,30.0,GS,0.85,100,0.0010105999972438,256,512,True
opposed_D30p00_GS_R0p90,opposed,30.0,GS,0.9,100,0.0005884999991394,256,512,True
opposed_D30p00_GS_R0p95,opposed,30.0,GS,0.95,100,0.0005973000079393,256,512,True
opposed_D30p00_GS_R1p00,opposed,30.0,GS,1.0,100,0.0005900000105611,256,512,True
opposed_D30p00_GS_R1p05,opposed,30.0,GS,1.05,100,0.0006745999999111,256,512,True
opposed_D30p00_GS_R1p10,opposed,30.0,GS,1.1,100,0.000599199993303,256,512,True
opposed_D30p00_GS_R1p15,opposed,30.0,GS,1.15,100,0.0005863999977009,256,512,True
opposed_D30p00_GS_R1p20,opposed,30.0,GS,1.2,100,0.0005648000078508,256,512,True
opposed_D30p00_GS_R1p25,opposed,30.0,GS,1.25,100,0.0005921999982092,256,512,True
opposed_D30p00_GS_R1p30,opposed,30.0,GS,1.3,100,0.0005783999949926,256,512,True
opposed_D30p00_GS_R1p35,opposed,30.0,GS,1.35,100,0.0005790999857708,256,512,True
opposed_D30p00_GS_R1p40,opposed,30.0,GS,1.4,100,0.0005601000011665,256,512,True
opposed_D30p00_GS_R1p45,opposed,30.0,GS,1.45,100,0.0005621000018436,256,512,True
opposed_D30p00_GS_R1p50,opposed,30.0,GS,1.5,100,0.0005650000093737,256,512,True
opposed_D30p00_GS_R1p55,opposed,30.0,GS,1.55,100,0.0013144999975338,256,512,True
opposed_D30p00_GS_R1p60,opposed,30.0,GS,1.6,100,0.0005865999992238,256,512,True
opposed_D30p00_GS_R1p65,opposed,30.0,GS,1.65,100,0.0005635999987134,256,512,True
opposed_D30p00_GS_R1p70,opposed,30.0,GS,1.7,100,0.0005614999972749,256,512,True
opposed_D30p00_GS_R1p75,opposed,30.0,GS,1.75,100,0.0007249000045703,256,512,True
opposed_D30p00_GS_R1p80,opposed,30.0,GS,1.8,100,0.0005857000069227,256,512,True
opposed_D30p00_GS_R1p85,opposed,30.0,GS,1.85,100,0.0005639000009978,256,512,True
opposed_D30p00_GS_R1p90,opposed,30.0,GS,1.9,100,0.0005718000029446,256,512,True
opposed_D30p00_GS_R1p95,opposed,30.0,GS,1.95,100,0.0005719000037061,256,512,True
opposed_D30p00_GS_R2p00,opposed,30.0,GS,2.0,100,0.0007150000019464,256,512,True
opposed_D30p00_GS_R2p05,opposed,30.0,GS,2.05,100,0.0005856999923707,256,512,True
opposed_D30p00_GS_R2p10,opposed,30.0,GS,2.1,100,0.0005647999932989,256,512,True
opposed_D30p00_GS_R2p15,opposed,30.0,GS,2.15,100,0.0005825999978696,256,512,True
opposed_D30p00_GS_R2p20,opposed,30.0,GS,2.2,100,0.000706299993908,256,512,True
opposed_D35p00_GS_R0p80,opposed,35.0,GS,0.8,100,0.0007035000016912,256,512,True
opposed_D35p00_GS_R0p85,opposed,35.0,GS,0.85,100,0.0006037000130163,256,512,True
opposed_D35p00_GS_R0p90,opposed,35.0,GS,0.9,100,0.0005734000005759,256,512,True
opposed_D35p00_GS_R0p95,opposed,35.0,GS,0.95,100,0.0005995999963488,256,512,True
