method,radius_mm,normalized_pressure
GS R=1.40 lambda,3.45,0.9796444648007572
GS R=1.40 lambda,3.5250000000000004,0.9852203774930299
GS R=1.40 lambda,3.6000000000000005,0.9899161543205065
GS R=1.40 lambda,3.6750000000000003,0.9937129299331287
GS R=1.40 lambda,3.7500000000000004,0.9966273162162048
GS R=1.40 lambda,3.825,0.9986454723543031
GS R=1.40 lambda,3.9000000000000004,0.9997751259667362
GS R=1.40 lambda,3.975,1.0
GS R=1.40 lambda,4.050000000000001,0.9993333571870018
GS R=1.40 lambda,4.125,0.9977735447940527
GS R=1.40 lambda,4.2,0.9953262053574913
GS R=1.40 lambda,4.275,0.9920043316200431
GS R=1.40 lambda,4.3500000000000005,0.9878137759163024
GS R=1.40 lambda,4.425,0.9827721049152608
GS R=1.40 lambda,4.500000000000001,0.9769284062136977
GS R=1.40 lambda,4.575,0.9702730060367545
GS R=1.40 lambda,4.65,0.9628211041891797
GS R=1.40 lambda,4.725,0.9545708788875522
GS R=1.40 lambda,4.800000000000001,0.9455337040536831
GS R=1.40 lambda,4.875000000000001,0.9357106713178183
GS R=1.40 lambda,4.95,0.9251301187487875
GS R=1.40 lambda,5.025000000000001,0.9138065457858985
GS R=1.40 lambda,5.1000000000000005,0.9017604328199021
GS R=1.40 lambda,5.175000000000001,0.8890158645989744
GS R=1.40 lambda,5.25,0.8756038750581614
GS R=1.40 lambda,5.325000000000001,0.861556512190308
GS R=1.40 lambda,5.4,0.8468860105382449
GS R=1.40 lambda,5.4750000000000005,0.8316362360796106
GS R=1.40 lambda,5.55,0.8158424036210518
GS R=1.40 lambda,5.625000000000001,0.7995345696919212
GS R=1.40 lambda,5.7,0.7827696546755805
GS R=1.40 lambda,5.775,0.7655903032266753
GS R=1.40 lambda,5.8500000000000005,0.7480480469621238
GS R=1.40 lambda,5.925000000000001,0.7302019169785146
GS R=1.40 lambda,6.0,0.7121252406242675
GS R=1.40 lambda,6.075,0.6938804508697346
GS R=1.40 lambda,6.150000000000001,0.6755381366211975
GS R=1.40 lambda,6.2250000000000005,0.657190810815196
GS R=1.40 lambda,6.300000000000001,0.6389392077449418
GS R=1.40 lambda,6.375000000000001,0.6208742286785076
GS R=1.40 lambda,6.450000000000001,0.6030998165988394
GS R=1.40 lambda,6.525,0.5856892992783435
GS R=1.40 lambda,6.6000000000000005,0.5687975037751655
GS R=1.40 lambda,6.675000000000001,0.552578629736839
GS R=1.40 lambda,6.750000000000001,0.537189391789502
GS R=1.40 lambda,6.825,0.52278715990856
GS R=1.40 lambda,6.9,0.5095295040288127
GS R=1.40 lambda,6.9750000000000005,0.4976516643969979
GS R=1.40 lambda,7.050000000000001,0.4873022415897664
GS R=1.40 lambda,7.125,0.47863528815822726
GS R=1.40 lambda,7.200000000000001,0.47178943809715856
GS R=1.40 lambda,7.275000000000001,0.46691142148365655
GS R=1.40 lambda,7.3500000000000005,0.4641384267286546
GS R=1.40 lambda,7.425000000000001,0.46356338293863275
GS R=1.40 lambda,7.500000000000001,0.46523361312370776
GS R=1.40 lambda,7.575000000000001,0.4691664974228586
