requested,method,eta,metric,n_pairs,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Twin,Conventional,0.01,xz_amplitude_cosine_fixed_FE,1,0.9962823236882411,0.9962823236882411,0.9962823236882411,0.9962823236882411,0.9962823236882411,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.03,iterations,1,2951.0,2951.0,2951.0,2951.0,2951.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.03,gradient_l2,1,473.73637449049244,473.73637449049244,473.73637449049244,473.73637449049244,473.73637449049244,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.03,gradient_inf,1,144.3668224241041,144.3668224241041,144.3668224241041,144.3668224241041,144.3668224241041,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.03,command_cosine_fixed_FE,1,0.9062102046585906,0.9062102046585906,0.9062102046585906,0.9062102046585906,0.9062102046585906,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.03,xz_amplitude_cosine_fixed_FE,1,0.9983701513619089,0.9983701513619089,0.9983701513619089,0.9983701513619089,0.9983701513619089,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.1,iterations,1,3248.0,3248.0,3248.0,3248.0,3248.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.1,gradient_l2,1,893.7643715863774,893.7643715863774,893.7643715863774,893.7643715863774,893.7643715863774,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.1,gradient_inf,1,156.5921241845243,156.5921241845243,156.5921241845243,156.5921241845243,156.5921241845243,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.1,command_cosine_fixed_FE,1,0.9403302467135929,0.9403302467135929,0.9403302467135929,0.9403302467135929,0.9403302467135929,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,0.1,xz_amplitude_cosine_fixed_FE,1,0.9988595136486522,0.9988595136486522,0.9988595136486522,0.9988595136486522,0.9988595136486522,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,1.0,iterations,1,4926.0,4926.0,4926.0,4926.0,4926.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Twin,Conventional,1.0,gradient_l2,1,665.5863097554602,665.5863097554602,665.5863097554602,665.5863097554602,665.5863097554602,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
