field_class,plane,x_m,y_m,z_m,total_force_x_n,total_force_y_n,total_force_z_n,radiation_force_x_n,radiation_force_y_n,radiation_force_z_n
Twin,XZ,0.003999999999999999,0.0,0.054,8.613173288084954e-06,1.765446835914553e-06,1.3780031027246051e-05,8.613173288084954e-06,1.765446835914553e-06,1.4894316306602187e-05
Twin,XZ,0.005,0.0,0.054,2.6615718361438946e-05,1.8198729539795866e-06,1.1390227922615393e-05,2.6615718361438946e-05,1.8198729539795866e-06,1.250451320197153e-05
Twin,XZ,0.006000000000000001,0.0,0.054,2.299184687632309e-05,1.5651114324512208e-06,6.595361501718954e-06,2.299184687632309e-05,1.5651114324512208e-06,7.70964678107509e-06
Twin,XZ,0.007,0.0,0.054,5.239552096162178e-06,1.1139084401489808e-06,2.2928394196476645e-06,5.239552096162178e-06,1.1139084401489808e-06,3.4071246990038005e-06
Twin,XZ,-0.007,0.0,0.055,-4.932741186005234e-06,-3.589602894783427e-07,1.6146716091654628e-06,-4.932741186005234e-06,-3.589602894783427e-07,2.7289568885215986e-06
Twin,XZ,-0.006,0.0,0.055,-2.1354286449554475e-05,-5.770241333534395e-07,5.462689552260863e-06,-2.1354286449554475e-05,-5.770241333534395e-07,6.576974831616999e-06
Twin,XZ,-0.005,0.0,0.055,-2.4901875639020146e-05,-7.247778602641665e-07,9.852634360842789e-06,-2.4901875639020146e-05,-7.247778602641665e-07,1.0966919640198925e-05
Twin,XZ,-0.004,0.0,0.055,-8.386218958127156e-06,-8.181513446395166e-07,1.1853541394822607e-05,-8.386218958127156e-06,-8.181513446395166e-07,1.2967826674178743e-05
Twin,XZ,-0.003,0.0,0.055,1.850097421995013e-05,-8.576124988947883e-07,9.317632013281307e-06,1.850097421995013e-05,-8.576124988947883e-07,1.0431917292637443e-05
Twin,XZ,-0.002,0.0,0.055,3.564049007216549e-05,-7.721869995075421e-07,2.8894058894984657e-06,3.564049007216549e-05,-7.721869995075421e-07,4.003691168854602e-06
Twin,XZ,-0.001,0.0,0.055,2.8468709521574017e-05,-5.446288272571081e-07,-3.653046690213821e-06,2.8468709521574017e-05,-5.446288272571081e-07,-2.538761410857685e-06
Twin,XZ,0.0,0.0,0.055,4.7561222411444996e-07,-1.5689275039221958e-07,-6.228314319166869e-06,4.7561222411444996e-07,-1.5689275039221958e-07,-5.114029039810733e-06
Twin,XZ,0.001,0.0,0.055,-2.7591952306640738e-05,3.6611129870908853e-07,-3.148032150061183e-06,-2.7591952306640738e-05,3.6611129870908853e-07,-2.033746870705047e-06
Twin,XZ,0.002000000000000001,0.0,0.055,-3.497904791496203e-05,9.88802712737157e-07,3.7891930215306052e-06,-3.497904791496203e-05,9.88802712737157e-07,4.903478300886741e-06
Twin,XZ,0.003,0.0,0.055,-1.808129065216503e-05,1.5536853295424368e-06,1.0376288961304534e-05,-1.808129065216503e-05,1.5536853295424368e-06,1.149057424066067e-05
Twin,XZ,0.003999999999999999,0.0,0.055,8.644789142635751e-06,1.8928777634443065e-06,1.284749571653574e-05,8.644789142635751e-06,1.8928777634443065e-06,1.3961780995891875e-05
Twin,XZ,0.005,0.0,0.055,2.50682468254766e-05,1.9291519924176012e-06,1.0635848484690638e-05,2.50682468254766e-05,1.9291519924176012e-06,1.1750133764046774e-05
Twin,XZ,0.006000000000000001,0.0,0.055,2.1352391725109837e-05,1.6536613717997949e-06,5.96690842260553e-06,2.1352391725109837e-05,1.6536613717997949e-06,7.081193701961666e-06
Twin,XZ,0.007,0.0,0.055,4.6268347720804044e-06,1.1595029061138254e-06,1.8738902513376748e-06,4.6268347720804044e-06,1.1595029061138254e-06,2.9881755306938106e-06
Twin,XZ,-0.007,0.0,0.056,-4.256315161589799e-06,-4.605271683390879e-07,1.3229481049060638e-06,-4.256315161589799e-06,-4.605271683390879e-07,2.4372333842621996e-06
Twin,XZ,-0.006,0.0,0.056,-1.953053267791255e-05,-7.081781827690552e-07,4.909922424205032e-06,-1.953053267791255e-05,-7.081781827690552e-07,6.024207703561168e-06
Twin,XZ,-0.005,0.0,0.056,-2.3221651497881478e-05,-8.612911955785976e-07,9.068612487321383e-06,-2.3221651497881478e-05,-8.612911955785976e-07,1.0182897766677519e-05
Twin,XZ,-0.004,0.0,0.056,-8.566411624748956e-06,-9.558337163782217e-07,1.0971536938866935e-05,-8.566411624748956e-06,-9.558337163782217e-07,1.208582221822307e-05
Twin,XZ,-0.003,0.0,0.056,1.5953209279291645e-05,-9.661240438055544e-07,8.489659196538868e-06,1.5953209279291645e-05,-9.661240438055544e-07,9.603944475895004e-06
Twin,XZ,-0.002,0.0,0.056,3.177126254924981e-05,-8.518341781275513e-07,2.25980085367421e-06,3.177126254924981e-05,-8.518341781275513e-07,3.3740861330303454e-06
Twin,XZ,-0.001,0.0,0.056,2.5560007641620297e-05,-5.761467435772052e-07,-4.201102149626978e-06,2.5560007641620297e-05,-5.761467435772052e-07,-3.086816870270843e-06
Twin,XZ,0.0,0.0,0.056,4.802645519099376e-07,-1.6729850472396154e-07,-6.820809285903998e-06,4.802645519099376e-07,-1.6729850472396154e-07,-5.706524006547862e-06
Twin,XZ,0.001,0.0,0.056,-2.4698428030422503e-05,3.781095874184099e-07,-3.8406092606877275e-06,-2.4698428030422503e-05,3.781095874184099e-07,-2.726323981331592e-06
Twin,XZ,0.002000000000000001,0.0,0.056,-3.116382832892732e-05,1.0342613781385967e-06,2.9005487873119695e-06,-3.116382832892732e-05,1.0342613781385967e-06,4.0148340666681055e-06
Twin,XZ,0.003,0.0,0.056,-1.562610237581056e-05,1.6012266159548385e-06,9.222981035221928e-06,-1.562610237581056e-05,1.6012266159548385e-06,1.0337266314578064e-05
Twin,XZ,0.003999999999999999,0.0,0.056,8.700938660744812e-06,1.941148916941778e-06,1.1619743785415555e-05,8.700938660744812e-06,1.941148916941778e-06,1.2734029064771691e-05
Twin,XZ,0.005,0.0,0.056,2.32670437212289e-05,1.966933495060806e-06,9.546756160644094e-06,2.32670437212289e-05,1.966933495060806e-06,1.066104144000023e-05
Twin,XZ,0.006000000000000001,0.0,0.056,1.94539789302128e-05,1.6830273272214745e-06,5.1819035799816585e-06,1.94539789302128e-05,1.6830273272214745e-06,6.2961888593377945e-06
Twin,XZ,0.007,0.0,0.056,3.958288824296453e-06,1.1709411111584596e-06,1.4384022627141612e-06,3.958288824296453e-06,1.1709411111584596e-06,2.552687542070297e-06
Twin,XZ,-0.007,0.0,0.057,-3.5124848403133974e-06,-5.271489890828802e-07,1.0014828500404612e-06,-3.5124848403133974e-06,-5.271489890828802e-07,2.115768129396597e-06
Twin,XZ,-0.006,0.0,0.057,-1.7581247469362788e-05,-7.642621791678299e-07,4.26776851877657e-06,-1.7581247469362788e-05,-7.642621791678299e-07,5.382053798132706e-06
